0taskID beam field RA Dec  Good noise bmaj bmin bpa
190712041 35 M1403+5324 210.2468600 54.4131510 0 37.0 17.66 12.55 -0.52
190712041 36 M1403+5324 211.0510530 54.4144860 0 32.4 17.67 12.55 -0.41
190712041 37 M1403+5324 211.8551670 54.4104800 0 44.6 17.52 12.43 -0.31
190712041 38 M1403+5324 212.6588850 54.4011370 0 70.6 18.55 13.05 -0.19
190712041 39 M1403+5324 213.4618910 54.3864650 0 78.3 18.77 13.21 -0.10
190713001 00 M0155+3130 28.8291670 31.5125000 0 39.4 26.75 11.24  0.14
190713001 01 M0155+3130 27.0645340 30.4873520 0 43.0 27.84 11.31  0.06
190713001 02 M0155+3130 27.6072970 30.4935380 0 37.2 28.41 11.51  0.05
190713001 03 M0155+3130 28.1502790 30.4974770 0 29.8 27.85 11.30  0.08
190713001 04 M0155+3130 28.6933830 30.4991650 0 40.0 26.04 10.46  0.22
190713001 05 M0155+3130 29.2365120 30.4986020 0 37.2 27.87 11.30  0.12
190713001 06 M0155+3130 29.7795670 30.4957890 1 39.2 27.88 11.30  0.16
190713001 07 M0155+3130 30.3224520 30.4907260 0 61.7 29.06 11.65  0.12
190713001 08 M0155+3130 27.3294500 30.8958510 1 46.8 27.83 11.27 -0.00
190713001 09 M0155+3130 27.8746720 30.9009970 0 31.6 27.52 11.34  0.09
190713001 10 M0155+3130 28.4200670 30.9038570 0 36.9 27.84 11.27  0.08
190713001 11 M0155+3130 28.9655360 30.9044290 1 51.6 28.88 11.67  0.30
190713001 12 M0155+3130 29.5109800 30.9027130 0 47.4 27.22 11.18  0.14
190713001 14 M0155+3130 30.6014000 30.8924220 0 81.0 27.26 11.15  0.32
190713001 15 M0155+3130 27.5967230 31.3039420 0 37.0 27.23 11.36  0.10
190713001 16 M0155+3130 28.1444030 31.3080100 0 33.7 27.24 11.36  0.09
190713001 17 M0155+3130 28.6922080 31.3097540 0 34.0 26.99 11.21  0.10
190713001 18 M0155+3130 29.2400380 31.3091730 0 45.4 29.27 12.05  0.03
190713001 19 M0155+3130 29.7877930 31.3062660 0 45.5 27.26 11.35  0.17
190713001 20 M0155+3130 30.3353720 31.3010370 0 41.1 27.26 11.37  0.21
190713001 22 M0155+3130 27.8663750 31.7115560 0 33.0 26.97 11.35  0.24
190713001 25 M0155+3130 29.5169070 31.7133270 0 78.7 26.92 11.41  0.20
190713001 26 M0155+3130 30.0669660 31.7091940 0 40.7 26.96 11.39  0.19
190713001 27 M0155+3130 27.5859650 32.1144250 0 32.0 26.65 11.41  0.07
190713001 28 M0155+3130 28.1384240 32.1186240 0 29.3 26.65 11.41  0.10
190713001 29 M0155+3130 28.6910120 32.1204240 0 36.4 23.42  9.89 -0.35
190713001 30 M0155+3130 29.2436250 32.1198240 0 118.6 26.97 11.36  0.09
190713001 31 M0155+3130 29.7961620 32.1168250 0 39.6 26.68 11.41  0.16
190713001 32 M0155+3130 30.3485180 32.1114270 0 57.1 26.72 11.37  0.34
190713001 33 M0155+3130 27.3031570 32.5165510 0 60.2 27.02 11.41  0.39
190713001 34 M0155+3130 27.8579330 32.5220320 0 34.8 26.06 11.25  0.23
190713001 35 M0155+3130 28.4128910 32.5250790 0 35.6 26.40 11.39  0.27
190713001 36 M0155+3130 28.9679280 32.5256880 0 36.7 26.41 11.40  0.28
190713001 37 M0155+3130 29.5229380 32.5238600 1 45.2 26.24 11.32  0.32
190713001 38 M0155+3130 30.0778190 32.5195960 1 58.0 27.57 11.74  0.41
190713001 39 M0155+3130 30.6324650 32.5128990 0 71.0 27.89 11.89  0.08
